dataset,config,n_feats,auc
RAID,model-free,36,0.9943215289540605
RAID,BERT-emb,50,0.7744812841079393
RAID,GPT2-ppl,2,0.48991886525633155
RAID,Mistral-token,30,0.9900221458781573
RAID,model-based (all),82,0.9941387312278495
RAID,MF + BERT,86,0.9953042279915613
RAID,MF + token,66,0.9990124398180975
RAID,MF + MB (all),118,0.9991489631889466
RAID,auto-filter,115,0.9991557313976905
HC3,model-free,30,0.9947668660059978
HC3,BERT-emb,50,0.8774634978753321
HC3,GPT2-ppl,2,0.9889241242273155
HC3,Mistral-token,30,0.4985986455193637
HC3,model-based (all),82,0.9937430375471122
HC3,MF + BERT,80,0.9956338129117902
HC3,MF + token,60,0.9943516922239362
HC3,MF + MB (all),112,0.9995251616661545
HC3,auto-filter,120,0.999646206363863
SemEval,model-free,36,0.51740432
SemEval,BERT-emb,50,0.49839688000000004
SemEval,GPT2-ppl,2,0.51135012
SemEval,Mistral-token,30,0.97634828
SemEval,model-based (all),82,0.9610173999999999
SemEval,MF + BERT,86,0.51628108
SemEval,MF + token,66,0.83284128
SemEval,MF + MB (all),118,0.8468085599999999
SemEval,auto-filter,116,0.8370958000000001
TuringBench,model-free,36,0.6700389999999998
TuringBench,BERT-emb,50,0.53941492
TuringBench,GPT2-ppl,2,0.9747094199999999
TuringBench,Mistral-token,30,0.52021114
TuringBench,model-based (all),82,0.9694876
TuringBench,MF + BERT,86,0.7362869400000001
TuringBench,MF + token,66,0.6716753799999999
TuringBench,MF + MB (all),118,0.9853173000000002
TuringBench,auto-filter,60,0.98117966
Pile,model-free,36,0.9623605225962761
Pile,BERT-emb,50,0.8950447459011697
Pile,GPT2-ppl,2,0.5037730249287049
Pile,Mistral-token,30,0.502589225501417
Pile,model-based (all),82,0.8940159060622579
Pile,MF + BERT,86,0.9730185742138431
Pile,MF + token,66,0.961387192725467
Pile,MF + MB (all),118,0.9727101701975107
Pile,auto-filter,118,0.9726728880683965
