lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-2.838,2.682,-13.83,-0.0004656,-2.072,-6.766,-0.06586,-1.1728515625,1.0,2.555,1.443,0.00537,9.22,2.635,0.14453125,39.79648,262.36597,1.0,49.0,0.39921722113502933,0.6673189823874756,0.7573385518590998,0.9432485322896281,0.4417,0.2769,0.7236,0.216,2.72,3.678,511
-2.553,3.414,-12.5,-9.894e-05,-0.6704,-7.824,-0.00648,-1.3154296875,0.5078125,1.459,1.401,0.001173,7.254,1.172,1.5849609375,30.907408,95.769844,0.0,33.799988,0.6111111111111112,0.7407407407407407,0.8148148148148148,0.9074074074074074,0.648,0.2725,0.8833,0.17,2.885,4.22,54
-2.576,2.826,-13.49,-5.805e-05,-1.625,-6.29,-0.04248,-1.5478515625,2.32421875,1.857,1.236,0.0007486,5.33,1.721,0.51513671875,41.57237,242.97531,1.0,31.0,0.4407894736842105,0.75,0.8223684210526315,0.9539473684210527,0.564,0.2654,0.8276,0.1765,2.764,3.797,152
-2.836,3.025,-15.52,-9.54e-06,-1.823,-7.44,-0.02557,-1.373046875,1.3828125,2.3,1.435,0.0001333,8.0,2.414,0.133056640625,86.44814,547.5457,1.0,68.0,0.44422700587084146,0.6947162426614482,0.761252446183953,0.923679060665362,0.4868,0.2893,0.7495,0.2058,2.838,4.03,511
-2.805,2.998,-12.16,-0.0002145,-2.006,-7.336,-0.03894,-1.201171875,0.736328125,2.256,1.571,0.002687,7.73,2.254,0.51171875,87.95098,423.30975,1.0,56.399963,0.43137254901960786,0.6666666666666666,0.7647058823529411,0.9313725490196079,0.5176,0.3,0.7607,0.2172,2.863,3.92,102
-3.568,3.045,-12.23,-0.001182,-3.227,-8.47,-0.08875,-0.9736328125,0.412109375,2.795,1.673,0.0112,7.73,2.867,0.461181640625,35.938774,113.195045,4.0,71.59985,0.3469387755102041,0.5306122448979592,0.673469387755102,0.8979591836734694,0.4075,0.2898,0.69,0.228,2.58,3.33,49
-5.402,3.111,-11.98,-0.741,-5.617,-9.46,-1.361,-0.333740234375,-0.646484375,3.33,1.95,0.687,9.23,3.213,1.1748046875,114.19231,260.14673,16.5,393.5,0.19230769230769232,0.38461538461538464,0.4230769230769231,0.8461538461538461,0.4077,0.2472,0.65,0.244,3.34,3.969,26
-3.836,3.623,-16.8,-0.0002176,-2.762,-9.26,-0.2654,-1.2197265625,1.16796875,2.828,1.257,0.00271,5.656,2.922,-0.2265625,167.24615,613.57306,2.0,422.9997,0.35384615384615387,0.5692307692307692,0.6461538461538462,0.8461538461538461,0.3975,0.2435,0.689,0.1927,3.691,4.71,65
-2.621,2.645,-12.5,-0.000491,-1.97,-5.887,-0.0693,-1.3681640625,1.671875,2.172,1.287,0.00505,7.38,2.236,0.20361328125,28.961685,158.8452,1.0,37.0,0.42911877394636017,0.7318007662835249,0.8045977011494253,0.9540229885057471,0.502,0.272,0.775,0.193,2.795,3.727,261
-3.326,3.389,-13.78,-4.48e-05,-2.312,-8.484,-0.01203,-1.1533203125,0.552734375,2.238,1.414,0.0005493,7.176,2.33,0.48974609375,175.48148,1076.5906,2.0,105.0,0.4074074074074074,0.6172839506172839,0.7160493827160493,0.8888888888888888,0.4985,0.277,0.7734,0.1927,3.19,4.348,81
-2.72,3.055,-14.43,-0.001062,-1.666,-7.246,-0.0318,-1.376953125,1.5,2.148,1.437,0.01177,7.71,2.148,0.4765625,44.2,173.94295,1.0,51.199997,0.43636363636363634,0.6727272727272727,0.7545454545454545,0.9272727272727272,0.521,0.2954,0.776,0.2032,2.781,3.83,110
-3.986,2.758,-9.71,-0.0864,-3.016,-8.93,-1.281,-0.7177734375,-0.78125,3.162,1.647,0.536,8.0,2.973,0.8349609375,56.1,154.07106,3.0,110.09994,0.13333333333333333,0.6,0.6666666666666666,0.8666666666666667,0.347,0.2025,0.663,0.233,2.477,3.406,30
-4.74,3.916,-12.695,-0.01347,-3.125,-10.055,-0.8506,-0.7119140625,-0.822265625,3.85,1.866,0.0766,6.32,4.375,-0.27392578125,492.64706,1567.96,2.0,404.19998,0.4117647058823529,0.5294117647058824,0.5882352941176471,0.6470588235294118,0.3027,0.2163,0.571,0.2578,4.42,5.26,17
-2.469,2.61,-15.84,-3.564e-05,-1.738,-5.902,-0.05145,-1.546875,3.0078125,2.186,1.343,0.0004606,8.12,2.254,0.201171875,50.555775,554.76263,1.0,26.0,0.45792563600782776,0.7103718199608611,0.7906066536203522,0.9549902152641878,0.5063,0.2832,0.767,0.2015,2.643,3.61,511
-3.91,3.91,-14.31,-0.007217,-2.262,-10.49,-0.3994,-1.1494140625,0.17578125,2.879,1.501,0.0687,6.35,3.002,0.251220703125,147.48572,345.06558,2.0,675.79956,0.34285714285714286,0.5714285714285714,0.6857142857142857,0.8,0.4038,0.2401,0.69,0.2212,4.63,6.12,35
-3.527,2.83,-10.34,-0.010056,-2.379,-7.387,-0.2106,-0.62646484375,-0.701171875,2.93,1.742,0.0734,8.16,2.787,0.50146484375,45.153847,161.70987,3.0,58.200027,0.3076923076923077,0.5384615384615384,0.6410256410256411,0.9230769230769231,0.4124,0.2751,0.689,0.2281,2.662,3.264,39
