lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-3.428,3.334,-18.48,-9.084e-05,-2.502,-8.38,-0.1271,-1.240234375,1.53515625,2.701,1.584,0.001083,6.633,2.59,0.18408203125,180.6214,912.99133,2.0,138.99976,0.35802469135802467,0.6049382716049383,0.6748971193415638,0.8683127572016461,0.4548,0.2751,0.7065,0.2281,3.367,4.477,243
-2.545,2.78,-16.89,-8.46e-06,-1.482,-6.37,-0.02657,-1.5419921875,2.6328125,2.18,1.445,9.63e-05,7.312,2.135,0.42529296875,46.375732,281.77612,1.0,44.0,0.4461839530332681,0.7025440313111546,0.786692759295499,0.9432485322896281,0.507,0.2898,0.773,0.2119,2.771,3.748,511
-1.983,2.404,-12.37,-3.6e-07,-1.093,-5.79,-0.001728,-1.5859375,2.1171875,1.591,1.264,5.5e-06,7.848,1.488,0.66259765625,21.385519,273.41254,0.0,16.0,0.5362035225048923,0.7945205479452054,0.8649706457925636,0.9765166340508806,0.5938,0.2966,0.8535,0.1742,2.176,3.098,511
-2.432,2.643,-11.65,-8.8e-06,-1.534,-6.387,-0.02095,-1.2724609375,1.0078125,2.04,1.445,0.00012183,8.27,2.002,0.47705078125,26.440313,140.07407,1.0,33.0,0.4657534246575342,0.7142857142857143,0.8043052837573386,0.9530332681017613,0.54,0.2964,0.789,0.2103,2.658,3.652,511
-2.121,2.629,-12.69,-1e-07,-1.082,-5.9,-0.000246,-1.470703125,1.73046875,1.331,1.212,1e-07,8.31,1.229,1.279296875,15.892858,117.75266,0.0,13.699997,0.5267857142857143,0.7723214285714286,0.8616071428571429,0.9821428571428571,0.643,0.2908,0.8906,0.1501,2.576,3.709,224
-3.172,3.088,-16.89,-9.18e-05,-2.416,-7.855,-0.11914,-1.3505859375,1.69140625,2.62,1.513,0.001071,7.312,2.613,0.23876953125,111.39544,578.0891,1.0,133.7998,0.41064638783269963,0.623574144486692,0.752851711026616,0.8897338403041825,0.441,0.2712,0.721,0.2205,2.953,4.03,263
-2.994,2.967,-12.54,-0.001047,-2.084,-6.977,-0.10425,-1.0791015625,0.44140625,2.121,1.442,0.00992,6.3,1.715,0.52587890625,48.091953,199.31169,1.0,47.0,0.41379310344827586,0.6666666666666666,0.7413793103448276,0.9310344827586207,0.5156,0.281,0.7886,0.2164,3.217,4.2,174
-1.708,2.207,-16.02,-8.3e-07,-0.788,-4.75,-0.0005355,-1.8486328125,4.6953125,1.622,1.445,1.08e-05,6.51,1.463,0.50048828125,14.123287,161.34285,0.0,13.0,0.5909980430528375,0.8180039138943248,0.8825831702544031,0.9843444227005871,0.6226,0.3198,0.8345,0.1932,1.899,2.83,511
-2.432,2.803,-12.66,-8.94e-06,-1.4375,-6.953,-0.01176,-1.447265625,1.53515625,1.969,1.381,0.0001229,8.53,1.931,0.406982421875,31.655577,132.8034,1.0,39.0,0.49706457925636005,0.726027397260274,0.812133072407045,0.9432485322896281,0.548,0.2944,0.8003,0.1948,2.963,4.004,511
-4.062,2.787,-9.3,-0.09515,-3.326,-8.67,-0.7114,-0.453857421875,-0.93359375,3.541,1.629,0.6177,8.0,3.516,0.55859375,87.0,226.94371,5.5,181.0,0.2777777777777778,0.4444444444444444,0.5277777777777778,0.8611111111111112,0.3333,0.2255,0.594,0.2257,2.938,3.77,36
-2.363,2.438,-8.38,0.0,-1.719,-6.094,-0.0293,-1.11328125,0.353515625,1.995,1.942,-0.0,8.805,1.3125,1.5390625,17.636364,60.64468,1.0,12.200005,0.4090909090909091,0.75,0.8863636363636364,0.9318181818181818,0.5366,0.3196,0.8115,0.2491,2.389,3.232,44
-2.262,2.496,-14.92,-5.7e-06,-1.396,-5.785,-0.00575,-1.4169921875,2.07421875,1.806,1.293,7.993e-05,7.99,1.859,0.449951171875,15.510763,128.14038,1.0,22.0,0.4931506849315068,0.7455968688845401,0.8277886497064579,0.9765166340508806,0.572,0.2886,0.825,0.177,2.42,3.438,511
-2.174,2.309,-11.05,-1.2e-06,-1.373,-5.793,-0.003147,-1.0986328125,0.533203125,1.67,1.292,1.365e-05,7.664,1.577,0.54833984375,7.3483367,22.197918,1.0,18.0,0.4755381604696673,0.7592954990215264,0.8434442270058709,0.9921722113502935,0.5967,0.2888,0.8413,0.1785,2.45,3.176,511
-2.434,2.459,-10.164,-8.94e-06,-1.596,-6.016,-0.000744,-0.88720703125,-0.09765625,1.777,1.378,0.0001177,8.16,1.787,0.908203125,31.164383,275.15942,1.0,21.0,0.4315068493150685,0.684931506849315,0.7602739726027398,0.9794520547945206,0.5625,0.2961,0.83,0.1833,2.438,3.25,146
-1.508,2.328,-14.11,-2.4e-07,-0.382,-4.508,-0.0002644,-2.25,5.6015625,1.013,1.067,3e-06,7.535,0.7217,1.4765625,7.6790605,37.005985,0.0,8.0,0.6281800391389433,0.8551859099804305,0.9099804305283757,0.9804305283757339,0.7183,0.2722,0.9224,0.1377,2.053,3.23,511
-2.104,2.562,-14.39,-8.3e-07,-1.091,-5.996,-0.0001023,-1.4482421875,1.765625,1.676,1.459,1.39e-05,8.37,1.5205,0.57958984375,27.951077,359.16132,0.0,27.0,0.5303326810176126,0.761252446183953,0.8258317025440313,0.974559686888454,0.612,0.3127,0.8306,0.1982,2.379,3.396,511
