lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-2.9836185,3.0861244,-15.375,-0.0015258789,-1.859375,-7.803125,-0.066650406,-1.293446660041809,1.1447863578796387,2.6156287,1.5833035,0.018066406,7.09375,2.7421875,0.2550819516181946,105.71622,462.54855,1.0,137.9,0.44144144144144143,0.6666666666666666,0.7477477477477478,0.8873873873873874,0.45117792,0.2816044,0.7123693,0.22766402,3.14103,4.2743173,222
-1.9870377,2.2114193,-13.625,-0.00025558472,-1.2421875,-4.875,-0.087890625,-1.9657185077667236,4.742147445678711,1.941946,1.1197892,0.0034332275,5.6875,1.875,0.49273359775543213,13.350293,71.32158,0.0,11.0,0.5088062622309197,0.8160469667318982,0.8943248532289628,0.9686888454011742,0.5245918,0.2510383,0.8146767,0.16820712,2.0873206,3.0534735,511
-2.0650766,2.4875245,-10.8125,-0.00010871887,-1.046875,-5.675,-0.0060363803,-1.5292649269104004,1.8004350662231445,1.8178133,1.3426782,0.0013885498,6.71875,1.8125,0.5421839952468872,16.18797,65.42058,0.0,20.199982,0.5538847117794486,0.7744360902255639,0.849624060150376,0.9573934837092731,0.5851665,0.28845146,0.82080203,0.18269378,2.3565676,3.359227,399
-2.2421207,2.4874532,-13.8125,-0.00032043457,-1.3359375,-5.725,-0.036962904,-1.5771409273147583,2.6073150634765625,2.0657716,1.4164567,0.003753662,7.25,1.9921875,0.4138529896736145,39.932076,332.04532,1.0,22.0,0.49433962264150944,0.769811320754717,0.8377358490566038,0.9584905660377359,0.5300164,0.29217038,0.78237396,0.2058449,2.5852456,3.5863078,265
-2.6856415,2.5049126,-15.9375,-0.00019359589,-1.9804688,-6.321875,-0.23212892,-1.458801031112671,2.8361330032348633,2.5916085,1.2484059,0.0029144287,7.0,2.5625,-0.09040053188800812,59.890804,577.924,1.0,34.599976,0.3936781609195402,0.6867816091954023,0.7844827586206896,0.9425287356321839,0.42381972,0.25036624,0.71192807,0.19555306,2.6281214,3.4708982,348
-2.4245543,2.6675525,-14.9375,-0.00038909912,-1.4921875,-6.0625,-0.088378906,-1.6828618049621582,3.179760456085205,2.179802,1.3762046,0.0053100586,7.1875,1.984375,0.45057758688926697,50.992172,440.1207,1.0,26.0,0.48336594911937375,0.726027397260274,0.8101761252446184,0.9530332681017613,0.49544877,0.2764704,0.7697491,0.21570757,2.793682,3.8823905,511
-1.5729082,2.3726265,-12.3125,-4.4584274e-05,-0.421875,-4.9375,-0.006591793,-2.0748796463012695,4.314008712768555,1.5440524,1.4173586,0.0005187988,7.78125,1.2148438,1.1133393049240112,41.853127,351.85977,0.0,13.0,0.678125,0.83125,0.878125,0.959375,0.65238035,0.30155826,0.85301054,0.18231905,1.9446822,2.956185,320
-2.7256215,2.5814247,-12.4375,-0.00025367737,-1.8945312,-6.865625,-0.2056641,-1.206181526184082,0.9112594127655029,2.5092885,1.3460134,0.0029449463,6.1875,2.5,0.17904239892959595,33.462566,167.11531,1.0,47.0,0.4117647058823529,0.6925133689839572,0.7727272727272727,0.9358288770053476,0.44663373,0.26057625,0.7276722,0.21046647,2.7980878,3.7117083,374
-1.8370862,2.312272,-12.375,-0.00030517578,-0.9296875,-5.375,-0.008605957,-1.7682418823242188,3.0170679092407227,1.794705,1.3826748,0.0033111572,6.84375,1.6796875,0.6837228536605835,26.243309,232.69441,0.0,15.0,0.5863746958637469,0.8150851581508516,0.8661800486618005,0.9708029197080292,0.5807945,0.29523405,0.81849957,0.19585846,2.142417,3.1918495,411
-2.6681526,2.7532809,-16.0,-0.00016117096,-1.7421875,-6.59375,-0.14941406,-1.6142210960388184,3.151698589324951,2.3308918,1.3022892,0.0024719238,7.03125,2.328125,0.4517049193382263,96.49706,863.94653,1.0,45.0,0.4187866927592955,0.7103718199608611,0.7749510763209393,0.9354207436399217,0.4700137,0.2555238,0.76197195,0.19221029,2.637983,3.6977746,511
-2.4644368,2.6134908,-11.625,-0.00025558472,-1.4882812,-6.465625,-0.05549318,-1.389047384262085,1.4672150611877441,2.301581,1.4482872,0.0032806396,6.1875,2.2109375,0.3902048170566559,60.01282,379.10358,1.0,31.09999,0.46153846153846156,0.7264957264957265,0.811965811965812,0.9358974358974359,0.49422097,0.28293094,0.753635,0.21149166,2.5492964,3.4702134,234
-2.1816974,2.472389,-14.8125,-0.00015068054,-1.25,-5.46875,-0.045166016,-1.7091524600982666,3.247668743133545,2.10407,1.3405279,0.0018234253,6.96875,2.109375,0.3909442126750946,39.033268,452.4408,0.0,24.0,0.5146771037181996,0.7632093933463796,0.8258317025440313,0.9628180039138943,0.5104111,0.28230536,0.7747523,0.20499402,2.2883184,3.2996976,511
-2.5609567,3.0502567,-14.5625,-1.21593475e-05,-1.3984375,-7.44375,-0.02302247,-1.5296845436096191,1.9600906372070312,2.1946106,1.6470852,0.00018882751,6.5625,2.03125,0.5595584511756897,141.96509,1107.6696,0.0,69.19998,0.5112936344969199,0.7248459958932238,0.7905544147843943,0.9075975359342916,0.537905,0.30309987,0.77058,0.22921428,2.8792062,4.0447164,487
-2.823173,2.8865335,-16.5,-0.00075912476,-1.7890625,-6.8125,-0.1953125,-1.5594595670700073,2.5044021606445312,2.6466198,1.3836858,0.009155273,8.25,2.53125,0.49605876207351685,77.560135,394.3425,1.0,42.0,0.422680412371134,0.6838487972508591,0.7731958762886598,0.9243986254295533,0.44810838,0.24907103,0.7218072,0.2050933,2.9448013,4.0510855,291
-2.594885,2.7037394,-14.1875,-0.00982666,-2.140625,-6.33125,-0.2343751,-2.062620162963867,5.379368782043457,2.4762092,1.4832811,0.076171875,7.0625,2.15625,0.7274804711341858,149.40425,916.15875,1.0,24.999966,0.40425531914893614,0.7659574468085106,0.8297872340425532,0.9361702127659575,0.45394573,0.26296735,0.7411486,0.22814846,2.4284296,3.1740081,47
-2.3805666,2.6576304,-12.75,-7.724762e-05,-1.40625,-6.50625,-0.015649423,-1.369201421737671,1.333038330078125,2.2321765,1.4996616,0.00091552734,6.375,2.234375,0.24124190211296082,48.13363,340.56882,0.0,45.19998,0.5189309576837416,0.7171492204899778,0.7973273942093542,0.9376391982182628,0.50243324,0.30192354,0.75598335,0.21840842,2.630322,3.6054223,449
-2.03901,2.1782534,-11.9375,-0.0001296997,-1.234375,-5.0625,-0.053222656,-1.5753458738327026,2.722893238067627,1.9903723,1.3138546,0.0015945435,8.25,1.8203125,0.6769269704818726,13.446184,63.95131,0.0,12.0,0.5068493150684932,0.8003913894324853,0.87279843444227,0.9706457925636007,0.5338118,0.27313396,0.8027019,0.19188288,2.2432828,3.073888,511
