lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-5.7387476,3.389956,-17.125,-0.0070495605,-5.375,-10.625,-1.5234375,-0.45625048875808716,-0.35486316680908203,4.3688364,1.2991029,0.076660156,7.6875,4.46875,-0.4638473689556122,615.5759,2313.7263,22.0,1185.0,0.14136125654450263,0.2931937172774869,0.38219895287958117,0.6544502617801047,0.24835749,0.16823304,0.48671925,0.1934926,3.5276806,4.474779,191
-3.9657168,3.1102314,-17.875,-0.0010147095,-3.3125,-8.125,-0.47656262,-1.2274868488311768,2.0404000282287598,3.2070897,1.5003774,0.012084961,9.1875,3.1875,0.15736402571201324,727.62476,9862.738,4.0,139.19995,0.2697768762677485,0.5030425963488844,0.6430020283975659,0.8843813387423936,0.36126497,0.24995328,0.6262306,0.21695879,3.2106006,4.188957,493
-4.6174583,2.7890384,-15.5,-0.032714844,-4.3125,-8.3125,-1.1015625,-0.7291548252105713,0.5829861164093018,4.020205,1.3377451,0.234375,9.1875,4.09375,-0.24319389462471008,323.3297,2511.928,9.0,190.0,0.1735357917570499,0.3882863340563991,0.5054229934924078,0.8308026030368764,0.26866695,0.20808974,0.5095289,0.20649639,2.9400656,3.7087739,461
-3.1669922,3.3907444,-13.375,-0.013671875,-2.0273438,-6.934375,-0.04248048,-1.3044836521148682,1.3073086738586426,2.9626954,2.2243955,0.14257812,6.875,2.3125,0.3877294659614563,505.06668,2424.4526,1.0,129.19998,0.43333333333333335,0.6,0.7,0.8666666666666667,0.47372234,0.320125,0.66979164,0.28342807,3.7243063,4.818248,30
-4.13719,3.0821376,-14.5,-0.0022735596,-3.515625,-8.8125,-0.498047,-0.8753039240837097,0.28121280670166016,3.4001002,1.5467498,0.023925781,7.1875,3.4453125,-0.1752726435661316,241.20139,1637.6085,4.0,244.6998,0.23842592592592593,0.5138888888888888,0.6203703703703703,0.8495370370370371,0.34845987,0.26183358,0.5954059,0.23217991,3.3075948,4.167114,432
-5.3025055,3.5250602,-14.8125,-0.022094727,-4.9375,-10.1125,-0.90625024,-0.44541898369789124,-0.6681389808654785,4.2500873,1.6182971,0.18847656,9.1875,4.375,-0.305609792470932,559.5446,1860.0387,16.0,944.9999,0.22065727699530516,0.39436619718309857,0.4460093896713615,0.704225352112676,0.28237814,0.22782072,0.4988985,0.22933294,3.5260897,4.5010543,213
-6.239782,3.2603025,-16.125,-0.0011901855,-6.4375,-10.40625,-1.8984375,-0.1066642701625824,-0.3075284957885742,5.329422,1.8264035,0.013793945,9.1875,5.453125,-0.9197943210601807,1023.65137,3929.1294,61.5,2581.0,0.10779816513761468,0.22247706422018348,0.27293577981651373,0.5779816513761468,0.18224117,0.21989153,0.34834948,0.24345183,2.8787305,3.7387123,436
-4.9828978,3.6480005,-15.1875,-0.001411438,-4.46875,-10.3125,-0.48359388,-0.5064431428909302,-0.6208951473236084,3.849626,1.6580173,0.014831543,7.375,4.09375,-0.5698830485343933,374.17328,1335.8223,10.0,762.3996,0.23826714801444043,0.4007220216606498,0.49097472924187724,0.7220216606498195,0.31904465,0.25877592,0.550605,0.23757209,3.9739308,5.047111,277
-4.780217,3.5903816,-15.0,-0.0063171387,-4.65625,-9.7875,-0.22363321,-0.44581499695777893,-0.6903128623962402,3.8644001,1.9140015,0.07080078,7.65625,4.15625,-0.3807666599750519,339.47427,1055.1476,12.0,821.5997,0.24571428571428572,0.4228571428571429,0.48,0.7142857142857143,0.33296734,0.2765475,0.5594085,0.2555835,3.2252867,4.278669,175
-5.5859885,3.8109498,-16.5,-0.0002861023,-5.28125,-11.125,-0.6328125,-0.38449081778526306,-0.6761512756347656,3.9824798,1.5752356,0.0037078857,6.9375,4.34375,-0.5910122394561768,820.05396,3840.834,21.0,1438.0,0.1991701244813278,0.37344398340248963,0.43983402489626555,0.6473029045643154,0.312888,0.24066527,0.53756726,0.2262774,4.0113716,4.9524746,241
