lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-3.823351,3.354302,-13.8125,-0.025512695,-3.1328125,-8.86875,-0.3810547,-1.03623366355896,0.33830857276916504,3.365308,1.6066899,0.2421875,7.15625,3.09375,0.1535547375679016,339.74527,1480.8744,3.0,316.9,0.330188679245283,0.5801886792452831,0.6556603773584906,0.8301886792452831,0.3734177,0.24090445,0.63248086,0.23273654,3.6835325,4.8257256,212
-2.733631,2.8639963,-15.5,-0.0012817383,-1.8046875,-6.565625,-0.1195313,-1.574237585067749,2.5640339851379395,2.4021285,1.3856548,0.01373291,7.8125,2.3125,0.4382348954677582,90.55785,747.0964,1.0,44.69998,0.44421487603305787,0.7004132231404959,0.7933884297520661,0.9297520661157025,0.4751973,0.2691275,0.74934626,0.20608667,2.895401,4.0152893,484
-2.1954305,2.3597608,-14.4375,-5.9366226e-05,-1.4140625,-5.3125,-0.041259766,-1.6490148305892944,3.268315315246582,1.9247376,1.29632,0.0008125305,7.5,1.84375,0.5957229733467102,34.32094,336.42456,1.0,14.0,0.487279843444227,0.7906066536203522,0.863013698630137,0.9667318982387475,0.5448237,0.27371934,0.8149834,0.18622762,2.3092752,3.2085013,511
-2.324248,2.458972,-13.8125,-0.00049209595,-1.4765625,-6.0625,-0.036132812,-1.3436864614486694,1.5446453094482422,2.2684522,1.521052,0.005584717,7.375,2.171875,0.38451138138771057,34.46575,269.85455,0.0,28.0,0.5068493150684932,0.735812133072407,0.8238747553816047,0.9569471624266145,0.5103956,0.29811198,0.75186235,0.22996989,2.5576282,3.5325172,511
-2.1569052,2.1253376,-10.375,-0.00028038025,-1.609375,-4.7875,-0.027417036,-1.3419214487075806,1.9165897369384766,2.3018515,1.484432,0.0034637451,6.75,2.328125,0.3242276906967163,15.917949,91.181496,1.0,14.0,0.4717948717948718,0.7589743589743589,0.8769230769230769,0.9743589743589743,0.49158153,0.29017264,0.75577426,0.20971909,2.2485874,3.0869095,195
-3.3066537,3.0858111,-13.8125,-0.0032806396,-2.296875,-7.8125,-0.28125,-1.1755423545837402,0.779914140701294,2.9766252,1.5553925,0.03100586,7.03125,2.78125,0.30634137988090515,123.68465,575.344,1.0,128.0,0.4024896265560166,0.6141078838174274,0.6970954356846473,0.8879668049792531,0.3986791,0.25098687,0.6743022,0.22793312,3.2027252,4.317579,241
-3.1991694,2.6898744,-12.3125,-0.003768921,-2.625,-6.9406247,-0.25742197,-0.9514399766921997,0.4810831546783447,2.9763184,1.3687797,0.037109375,6.71875,3.125,-0.08887246996164322,64.90131,288.49652,2.0,63.799988,0.375,0.5986842105263158,0.7171052631578947,0.9144736842105263,0.4008709,0.25214487,0.67310214,0.20556517,2.6840296,3.4732351,152
-1.9553956,2.149348,-11.625,-0.00023460388,-1.265625,-5.40625,-0.018432617,-1.347259759902954,1.379472255706787,2.0219216,1.4479926,0.002609253,8.125,2.0,0.5637496709823608,10.02544,64.32742,0.0,17.0,0.5420743639921722,0.7964774951076321,0.8590998043052838,0.9804305283757339,0.544089,0.29757896,0.794275,0.20022926,2.0279272,2.840011,511
-2.4556649,2.6531775,-14.0625,-0.00043678284,-1.578125,-6.375,-0.10449219,-1.5603398084640503,2.316157817840576,2.4452937,1.3997103,0.004180908,7.0625,2.484375,0.13287916779518127,48.17221,264.07626,0.0,41.0,0.5048923679060665,0.7397260273972602,0.8101761252446184,0.9354207436399217,0.47291234,0.27260312,0.735256,0.21005587,2.8172543,3.8441703,511
-4.289978,3.065996,-13.0,-0.45898438,-3.796875,-7.671875,-0.86640626,-0.995954692363739,0.6022429466247559,3.6499023,1.301613,2.015625,6.9375,3.296875,1.2504080533981323,449.6875,1610.8989,7.0,129.69998,0.25,0.4375,0.65625,0.875,0.31392288,0.17909184,0.5868988,0.20398773,3.0659022,4.1584654,32
