lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-5.5003753,3.1644862,-14.375,-0.004272461,-5.15625,-9.8125,-1.6640625,-0.5005765557289124,-0.2587876319885254,4.7814045,1.5047071,0.049072266,7.75,5.09375,-0.8329020142555237,659.5812,2886.0994,21.0,770.0,0.14659685863874344,0.32460732984293195,0.4083769633507853,0.7120418848167539,0.21646453,0.17806646,0.42658398,0.21626972,3.3612523,4.2363405,191
-3.7701013,3.0401008,-18.5,-0.008605957,-3.0625,-7.66875,-0.51406264,-1.4314310550689697,3.0791783332824707,3.3199718,1.5297221,0.07763672,9.3125,3.265625,0.17688977718353271,757.1947,9439.433,3.0,107.599976,0.2880324543610548,0.5436105476673428,0.6734279918864098,0.8904665314401623,0.35000196,0.24728759,0.60687613,0.22112219,3.0412073,4.0180435,493
-4.427095,2.7982376,-15.3125,-0.0017929077,-4.25,-8.3125,-0.96875,-0.7226724624633789,0.6975250244140625,3.8962703,1.3216347,0.016479492,9.3125,3.921875,-0.08826631307601929,326.78308,3093.5698,9.0,216.0,0.21691973969631237,0.4164859002169197,0.5075921908893709,0.8329718004338394,0.28560707,0.20907733,0.52321875,0.20543423,2.941253,3.7763436,461
-3.227942,3.6321023,-14.8125,-0.017700195,-1.7851562,-7.41875,-0.056005906,-1.513188123703003,1.9971909523010254,2.7166667,2.231334,0.14257812,7.375,2.140625,0.6950375437736511,886.23334,4407.9326,1.0,181.19983,0.43333333333333335,0.6666666666666666,0.7666666666666667,0.8333333333333334,0.52186686,0.30821672,0.71451825,0.27780646,3.6295881,4.8556085,30
-4.011021,2.9861016,-15.4375,-0.0012283325,-3.5546875,-8.43125,-0.5179689,-0.9004218578338623,0.48783135414123535,3.461353,1.527281,0.01574707,8.0,3.6484375,-0.24287360906600952,210.5162,1391.5947,4.0,208.69992,0.26157407407407407,0.5023148148148148,0.5949074074074074,0.8680555555555556,0.33459926,0.25897625,0.5731834,0.23577966,3.138922,3.9530036,432
-5.1476626,3.3121219,-13.6875,-0.0020599365,-4.96875,-9.4625,-1.0968761,-0.48257187008857727,-0.4462132453918457,4.6496387,1.7881672,0.01953125,9.375,4.90625,-0.664984941482544,618.5493,2470.545,15.0,761.1999,0.20187793427230047,0.41784037558685444,0.4647887323943662,0.7276995305164319,0.2567646,0.24239388,0.4496864,0.23906511,3.233938,4.1841273,213
-6.1501365,3.389617,-19.125,-0.00093078613,-6.21875,-10.40625,-1.421875,-0.23508532345294952,-0.1259138584136963,5.2941213,1.9796135,0.00982666,9.375,5.5,-0.7577316164970398,1192.9541,5733.2827,59.0,2759.5,0.12844036697247707,0.24770642201834864,0.31880733944954126,0.5894495412844036,0.18665202,0.23268375,0.34805325,0.26344314,3.0407386,3.9666255,436
-4.465543,3.2278955,-15.375,-0.00088500977,-4.21875,-8.675,-0.32968754,-0.6018028259277344,-0.046701669692993164,4.021325,1.8044243,0.0115356445,7.4375,4.375,-0.7195350527763367,232.79062,858.32935,9.0,326.79987,0.2527075812274368,0.41155234657039713,0.516245487364621,0.8050541516245487,0.30557814,0.27126077,0.52316606,0.2580412,3.4368768,4.5395,277
-4.437631,3.4825637,-16.0,-0.0045166016,-4.0625,-8.9625,-0.12812503,-0.5864832401275635,-0.26441097259521484,3.8343177,2.0679085,0.05078125,8.0625,4.09375,-0.23389306664466858,454.46857,3104.9553,6.0,402.3999,0.2857142857142857,0.48,0.5485714285714286,0.7657142857142857,0.34374303,0.29072675,0.5590095,0.27758136,3.2886176,4.2815022,175
-5.0254755,3.8472533,-15.375,-0.00020217896,-4.0,-11.0625,-0.4296875,-0.556730329990387,-0.7122704982757568,3.8529773,1.7205313,0.00289917,7.4375,4.0625,-0.40364354848861694,590.85895,1872.8661,8.0,1628.0,0.23651452282157676,0.44398340248962653,0.5186721991701245,0.6887966804979253,0.32616225,0.257678,0.55390745,0.24379288,3.9515576,5.027504,241
