lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-2.76,3.055,-12.56,-7e-07,-1.561,-7.594,-0.00611,-1.1767578125,0.46875,2.04,1.549,7.5e-06,8.43,1.908,0.5751953125,57.055557,278.7225,1.0,66.19995,0.4642857142857143,0.7023809523809523,0.753968253968254,0.9206349206349206,0.5425,0.3098,0.7866,0.2175,3.053,4.188,252
-1.925,2.4,-12.81,-1.1e-06,-0.9956,-5.203,-0.01008,-1.8642578125,3.66796875,1.471,1.113,1.615e-05,7.695,1.336,0.974609375,10.46184,55.49667,0.0,10.0,0.5420743639921722,0.8238747553816047,0.8923679060665362,0.9765166340508806,0.6187,0.2676,0.8774,0.1494,2.277,3.334,511
-1.752,2.314,-12.945,-2.6e-06,-0.6675,-5.223,-0.001776,-1.8173828125,3.4375,1.579,1.288,3.21e-05,5.668,1.471,0.49462890625,9.028199,37.49426,0.0,13.0,0.6008676789587852,0.8156182212581344,0.8676789587852495,0.9761388286334056,0.627,0.2917,0.8486,0.1729,2.07,3.004,461
-2.312,2.57,-11.15,-8.94e-06,-1.505,-6.438,-0.0539,-1.419921875,1.375,1.992,1.367,0.0001185,8.805,1.812,0.70068359375,70.84249,850.6053,1.0,24.399963,0.46886446886446886,0.7619047619047619,0.8351648351648352,0.9597069597069597,0.545,0.2744,0.8037,0.1921,2.65,3.648,273
-2.441,2.459,-10.805,-4.53e-06,-1.764,-6.23,-0.01688,-1.1474609375,0.654296875,2.135,1.34,4.4e-05,8.53,2.098,0.30615234375,21.862337,140.4511,1.0,30.399902,0.44935064935064933,0.7012987012987013,0.8025974025974026,0.961038961038961,0.508,0.2825,0.7754,0.2015,2.633,3.459,385
-2.227,2.814,-14.41,-7e-07,-0.983,-6.22,-0.00573,-1.6220703125,2.38671875,1.515,1.227,1.01e-05,5.793,1.274,0.7060546875,24.80235,149.95212,0.0,24.0,0.5283757338551859,0.7592954990215264,0.8277886497064579,0.9569471624266145,0.6143,0.2856,0.8633,0.1746,2.838,4.027,511
-1.594,2.455,-12.77,-7.87e-06,-0.35,-5.203,-0.001749,-2.060546875,4.16796875,1.337,1.325,9.614e-05,6.473,1.032,1.150390625,29.672464,233.54698,0.0,11.600006,0.6666666666666666,0.8289855072463768,0.8898550724637682,0.9681159420289855,0.6895,0.288,0.8804,0.1692,2.03,3.172,345
-2.525,2.852,-14.16,-9.8e-06,-1.381,-7.09,-0.03041,-1.400390625,1.3515625,1.922,1.331,0.0001276,7.742,1.783,0.51513671875,24.056372,86.001396,1.0,50.599976,0.4803921568627451,0.7303921568627451,0.803921568627451,0.9387254901960784,0.5454,0.2808,0.809,0.1935,2.96,4.04,408
-1.84,2.275,-10.49,-5.5e-06,-0.955,-5.4,-0.004364,-1.5498046875,1.82421875,1.666,1.356,7.844e-05,8.805,1.608,0.84423828125,14.683146,115.60376,0.0,14.0,0.5640449438202247,0.7932584269662921,0.8786516853932584,0.9707865168539326,0.6055,0.293,0.839,0.1843,2.113,3.066,445
-2.229,2.6,-15.95,-2.4e-07,-1.237,-6.04,-0.00815,-1.724609375,3.4453125,1.85,1.285,3.3e-06,8.53,1.77,0.61279296875,38.669277,409.62253,0.0,27.0,0.5107632093933464,0.7592954990215264,0.837573385518591,0.958904109589041,0.5576,0.2776,0.823,0.1821,2.383,3.406,511
