lp_mean,lp_std,lp_min,lp_max,lp_median,lp_q10,lp_q90,lp_skew,lp_kurtosis,ent_mean,ent_std,ent_min,ent_max,ent_median,ent_skew,rank_mean,rank_std,rank_median,rank_q90,rank_top1_frac,rank_top5_frac,rank_top10_frac,rank_top100_frac,top1p_mean,top1p_std,top5p_mean,top5p_std,lp_diff_mean,lp_diff_std,seq_length
-4.55,3.512,-15.69,-0.00011873,-3.87,-9.62,-0.3206,-0.70654296875,-0.25,3.428,1.629,0.001379,6.25,3.736,-0.63330078125,281.96567,1054.1036,7.0,448.79987,0.2575107296137339,0.4592274678111588,0.5321888412017167,0.7896995708154506,0.353,0.2683,0.5986,0.2377,3.61,4.586,233
-3.732,3.07,-17.88,-0.0002142,-2.969,-8.29,-0.1354,-0.8994140625,0.609375,2.78,1.562,0.002438,6.934,2.777,-0.0198516845703125,122.2544,914.3992,3.0,115.0,0.299412915851272,0.5440313111545988,0.6594911937377691,0.8884540117416829,0.4229,0.2932,0.672,0.2281,3.178,4.06,511
-4.793,2.941,-18.33,-0.0002185,-4.797,-8.45,-0.545,-0.42724609375,0.53515625,3.592,1.615,0.0005198,7.17,3.861,-0.60302734375,166.63527,1074.4158,15.0,224.19998,0.16432865731462926,0.33867735470941884,0.42685370741482964,0.8096192384769539,0.3276,0.2712,0.5576,0.2451,3.113,4.027,499
-2.666,3.4,-15.86,-0.0004084,-1.682,-6.324,-0.003986,-2.0703125,4.625,2.03,1.725,0.00457,6.56,1.832,0.70654296875,134.3421,568.50995,1.0,65.199936,0.42105263157894735,0.7368421052631579,0.8157894736842105,0.8947368421052632,0.5693,0.3022,0.7954,0.2214,3.055,4.324,38
-3.916,3.227,-16.3,-0.00011826,-3.318,-8.62,-0.1148,-0.876953125,0.4296875,2.824,1.635,0.00141,7.223,3.02,-0.12744140625,143.8072,626.1319,4.0,167.0,0.2796610169491525,0.5233050847457628,0.6059322033898306,0.864406779661017,0.4229,0.2961,0.6694,0.2456,3.455,4.348,472
-4.86,3.426,-17.73,-0.001925,-4.56,-9.516,-0.7686,-0.63134765625,0.052734375,3.941,1.7,0.02121,6.836,4.29,-0.65087890625,339.24576,1417.0168,12.0,622.0,0.2245762711864407,0.4110169491525424,0.4830508474576271,0.7669491525423728,0.314,0.2527,0.5317,0.2456,3.455,4.53,236
-5.438,3.494,-15.91,-0.0002356,-5.906,-9.805,-0.2725,-0.0611572265625,-0.79296875,4.387,2.178,0.002728,7.734,4.805,-0.54052734375,508.274,1514.1198,39.0,1172.0,0.19765166340508805,0.3385518590998043,0.37377690802348335,0.6340508806262231,0.296,0.2966,0.4692,0.3013,3.312,4.29,511
-4.42,3.502,-16.64,-0.0001566,-4.023,-9.33,-0.1019,-0.62451171875,-0.294921875,3.236,1.727,0.001742,6.28,3.592,-0.428466796875,205.36789,746.5346,5.0,354.79947,0.27424749163879597,0.47157190635451507,0.5451505016722408,0.782608695652174,0.395,0.2898,0.625,0.2479,3.535,4.54,299
-4.285,3.906,-16.31,-5.6e-05,-3.262,-10.19,-0.03766,-0.802734375,-0.166015625,2.855,1.789,0.000633,7.33,2.879,0.08001708984375,388.08163,2008.9202,4.0,429.0,0.34183673469387754,0.5102040816326531,0.5867346938775511,0.7959183673469388,0.434,0.3015,0.685,0.2444,3.732,5.023,196
-4.477,3.809,-17.22,-2.72e-05,-3.523,-9.94,-0.0978,-0.6669921875,-0.427734375,3.195,1.678,0.0003457,6.8,3.543,-0.3720703125,294.61703,949.2375,4.0,552.1999,0.2978723404255319,0.5035460992907801,0.5460992907801419,0.75177304964539,0.406,0.2844,0.6353,0.2372,4.055,5.08,282
